CustomerID;Age;Gender;Location;ProductType;PurchaseCount;TotalSpend;AveragePurchaseValue;EngagementScore;FollowDuration;PreferredChannel;CustomerCost;CustomerProfitabilityScore;ROAS;ROI;RFMScore;AverageRFM;Persona;OperatingExpenses;AdditionalCosts;GrossProfit;GrossProfitMargin;OperatingProfit;OperatingProfitMargin;NetProfit;NetProfitMargin;CLTV;LastPurchaseDate;SubscriptionStartDate;SubscriptionEndDate;IsActive;MarketingSpend;ProductCost;SalesRevenue;CustomerAcquisitionDate;CustomerExitDate;CustomerRetentionPeriod;CPA;NumberOfTransactions;CompletionRate
1;56;Male;North America;Bracelet;9;737;8.188.888.889;2.079.019.841;24;Facebook;468.5;268.5;7.37;0.573105656;152;2.666.666.667;Engaged;147.4;73.7;368.5;50;221.1;30;147.4;20;2211;21-07-2022;21-06-2022;;TRUE;8.505.205.343;368.5;737;22-07-2020;;24.3;8.505.205.343;9;0.6
2;46;Female;Middle East;Ring;3;334;1.113.333.333;7.614.332.627;18;Facebook;267;67;3.34;0.25093633;221;1.666.666.667;Standard;66.8;33.4;167;50;100.2;30;66.8;20;1002;19-06-2023;26-04-2022;;TRUE;8.725.332.738;167;334;23-06-2021;;24.2;8.725.332.738;3;0.6
3;32;Male;Asia;Ring;1;515;515;5.783.094.228;10;Facebook;357.5;157.5;5.15;0.440559441;412;2.333.333.333;Engaged;103;51.5;257.5;50;154.5;30;103;20;1545;05-01-2023;18-04-2022;;TRUE;5.687.136.777;257.5;515;29-08-2021;;1.646.666.667;5.687.136.777;1;0.6
4;60;Other;North America;Bracelet;7;1037;1.481.428.571;3.591.508.084;7;LinkedIn;618.5;418.5;10.37;0.676637025;443;3.666.666.667;Engaged;207.4;103.7;518.5;50;311.1;30;207.4;20;3111;25-07-2022;30-08-2022;;TRUE;8.695.741.994;518.5;1037;27-05-2022;;1.966.666.667;8.695.741.994;7;0.6
5;25;Male;Europe;Ring;5;598;119.6;5.435.376.261;8;Facebook;399;199;5.98;0.498746867;432;3;Engaged;119.6;59.8;299;50;179.4;30;119.6;20;1794;20-06-2022;08-09-2022;27-05-2023;FALSE;9.642.385.197;299;598;24-04-2022;27-05-2023;1.9;9.642.385.197;5;0.6
6;38;Male;Middle East;Earrings;5;1073;214.6;3.699.478.628;6;Facebook;636.5;436.5;10.73;0.685781618;533;3.666.666.667;Engaged;214.6;107.3;536.5;50;321.9;30;214.6;20;3219;10-03-2024;17-05-2022;23-10-2022;FALSE;1.222.737.752;536.5;1073;24-07-2021;23-10-2022;32;1.222.737.752;5;0.6
7;56;Male;North America;Earrings;1;733;733;6.364.737.597;22;Facebook;466.5;266.5;7.33;0.571275456;112;1.333.333.333;Standard;146.6;73.3;366.5;50;219.9;30;146.6;20;2199;30-04-2022;19-09-2022;;TRUE;1.156.729.485;366.5;733;11-01-2022;;3.633.333.333;1.156.729.485;1;0.6
8;36;Male;Asia;Bracelet;9;1773;197;4.904.595.306;1;LinkedIn;986.5;786.5;17.73;0.797263051;555;5;Premium;354.6;177.3;886.5;50;531.9;30;354.6;20;5319;15-12-2023;12-07-2022;;TRUE;1.208.765.655;886.5;1773;30-12-2020;;36;1.208.765.655;9;0.6
9;40;Other;North America;Necklace;7;1119;1.598.571.429;2.479.649.762;4;Facebook;659.5;459.5;11.19;0.696739955;543;4;Premium;223.8;111.9;559.5;50;335.7;30;223.8;20;3357;09-08-2022;13-07-2022;28-10-2023;FALSE;5.083.636.819;559.5;1119;16-03-2022;28-10-2023;4.866.666.667;5.083.636.819;7;0.6
10;28;Other;Asia;Earrings;8;214;26.75;2.049.247.671;14;Facebook;207;7;2.14;0.033816425;341;2.666.666.667;Engaged;42.8;21.4;107;50;64.2;30;42.8;20;642;20-07-2023;28-05-2022;;TRUE;7.176.673.996;107;214;05-06-2020;;38;7.176.673.996;8;0.6
